,age,native_language,sex,zcr
1004,18.0,turkish,female,77278
1005,23.0,turkish,male,45295
1006,37.0,turkish,female,106682
1007,31.0,turkish,male,93900
1008,32.0,turkish,male,69040
1009,45.0,turkish,male,92625
1010,18.0,turkish,female,95729
1011,24.0,turkish,female,55257
1012,21.0,turkish,female,63018
1013,27.0,turkish,male,69785
1014,24.0,turkish,female,76012
1015,24.0,turkish,male,138532
1016,24.0,turkish,male,128817
1017,24.0,turkish,male,116370
1018,24.0,turkish,male,86781
1019,24.0,turkish,female,120678
1020,26.0,turkish,female,104411
1021,20.0,turkish,male,44084
1022,30.0,turkish,female,63750
1023,19.0,turkish,male,42213
1024,19.0,turkish,male,82867
1025,37.0,turkish,male,93147
1026,25.0,turkish,male,28030
1027,19.0,twi,male,86812
1028,24.0,urdu,female,52466
1029,20.0,urdu,female,47808
1030,46.0,uyghur,female,147866
1031,34.0,uyghur,female,116750
1032,49.0,uyghur,female,129900
1033,24.0,vlaams,male,56298
1034,21.0,vlaams,female,107496
1035,22.0,vlaams,female,87239
1036,50.0,vlaams,female,162057
1037,30.0,wu,female,78920
1038,30.0,xiang,male,77167
1039,36.0,xiang,male,86840
1040,23.0,xiang,female,80990
1041,19.0,yakut,female,49833
1042,78.0,yiddish,female,63089
1043,52.0,yiddish,male,52173
1044,31.0,yupik,female,48672
