,age,native_language,sex,zcr
225,53.0,english,male,30434
226,45.0,english,female,59172
227,35.0,english,female,103032
228,23.0,english,female,94609
229,46.0,english,male,53542
230,37.0,english,female,48986
231,23.0,english,female,49671
232,30.0,english,male,70602
233,24.0,english,male,42041
234,38.0,english,male,44856
235,26.0,english,male,48547
236,20.0,english,male,68622
237,48.0,english,female,43933
238,66.0,english,male,66533
239,27.0,english,female,42233
240,38.0,english,female,76005
241,18.0,english,female,83175
242,45.0,english,male,54969
243,18.0,english,female,48479
244,18.0,english,male,75436
245,50.0,english,male,86334
246,38.0,english,male,62212
247,42.0,english,female,91502
248,59.0,english,female,62410
249,25.0,english,male,49004
250,43.0,english,male,71481
251,35.0,english,male,96169
252,22.0,english,male,52224
253,32.0,english,female,57692
254,26.0,english,female,31903
255,49.0,english,male,69482
256,52.0,english,female,107037
257,44.0,english,male,49284
258,22.0,english,female,58555
259,21.0,english,female,19059
260,37.0,english,male,73470
261,26.0,english,male,43075
262,77.0,english,female,90493
263,27.0,english,male,76989
264,23.0,english,male,46560
265,25.0,english,male,32456
266,32.0,english,male,44541
267,33.0,english,male,68097
268,18.0,english,female,98954
269,29.0,english,female,53952
270,57.0,english,male,79315
271,19.0,english,male,105703
272,21.0,english,male,55704
273,25.0,english,female,50815
274,39.0,english,male,56561
275,23.0,english,male,66879
276,24.0,english,male,88407
277,71.0,english,male,98016
278,18.0,english,female,46231
279,59.0,english,female,65992
280,60.0,english,male,57502
281,21.0,english,male,47464
282,21.0,english,male,84469
283,31.0,english,male,51673
284,18.0,english,male,89762
285,66.0,english,male,56686
286,67.0,english,female,50425
287,22.0,english,female,56311
288,37.0,english,female,82211
289,20.0,english,male,65951
290,46.0,english,male,69134
291,25.0,english,female,90411
292,20.0,english,female,59680
293,50.0,english,female,61918
294,48.0,english,female,89682
295,18.0,english,female,28157
296,54.0,english,male,68337
297,23.0,english,male,104260
298,20.0,english,male,59648
299,18.0,english,male,58453
300,33.0,english,male,63086
301,50.0,english,male,67947
302,21.0,english,female,96384
303,26.0,english,female,99934
304,19.0,english,female,75242
305,54.0,english,female,122918
306,20.0,english,male,46844
307,38.0,english,male,72920
308,22.0,english,female,80929
309,19.0,english,female,74674
310,25.0,english,male,74078
311,18.0,english,female,95463
312,19.0,english,male,96051
313,22.0,english,male,45698
314,59.0,english,male,104363
315,26.0,english,female,50403
316,30.0,english,female,86273
317,41.0,english,male,40108
318,22.0,english,male,89653
319,45.0,english,female,85737
320,24.0,english,female,55106
321,48.0,english,male,80268
322,34.0,english,male,70238
323,37.0,english,female,57828
324,38.0,english,female,74137
325,40.0,english,female,55654
326,28.0,english,male,88870
327,26.0,english,female,55151
328,25.0,english,male,82636
329,33.0,english,male,58676
330,26.0,english,male,9592
331,46.0,english,male,54695
332,29.0,english,male,49683
333,50.0,english,female,83340
334,52.0,english,male,57123
335,29.0,english,male,66687
336,31.0,english,female,62808
337,28.0,english,male,94871
338,32.0,english,male,81734
339,53.0,english,male,54540
340,27.0,english,male,67515
341,23.0,english,female,56804
342,21.0,english,female,27181
343,21.0,english,male,66358
344,18.0,english,female,84614
345,28.0,english,female,104806
346,20.0,english,female,95622
347,32.0,english,female,47261
348,18.0,english,female,113035
349,6.0,english,male,95814
350,46.0,english,female,127618
351,84.0,english,female,63398
352,53.0,english,female,44808
353,54.0,english,male,57755
354,18.0,english,female,69704
355,19.0,english,male,87275
356,23.0,english,female,46971
357,33.0,english,male,53762
358,23.0,english,male,63251
359,19.0,english,female,71941
360,20.0,english,male,53113
361,60.0,english,male,57785
362,22.0,english,female,119966
363,24.0,english,female,126342
364,60.0,english,female,80792
365,18.0,english,female,32290
366,37.0,english,male,55991
367,18.0,english,male,42301
368,19.0,english,male,62663
369,23.0,english,female,80046
370,24.0,english,male,55079
371,19.0,english,male,53783
372,32.0,english,male,76918
373,60.0,english,male,54016
374,19.0,english,female,107966
375,20.0,english,female,97461
376,20.0,english,male,57776
377,28.0,english,female,113785
378,52.0,english,male,61972
379,25.0,english,female,106911
380,25.0,english,female,116545
381,43.0,english,male,122502
382,27.0,english,male,78032
383,28.0,english,female,96729
384,22.0,english,male,75443
385,27.0,english,female,108609
386,80.0,english,male,40628
387,22.0,english,male,73380
388,36.0,english,male,51639
389,28.0,english,male,64721
390,46.0,english,male,32317
391,32.0,english,female,43187
392,38.0,english,female,32562
393,43.0,english,male,43101
394,27.0,english,male,71286
395,34.0,english,female,47446
396,85.0,english,male,97971
397,34.0,english,male,58115
398,32.0,english,female,56345
399,57.0,english,male,68993
400,77.0,english,female,88735
401,56.0,english,female,61398
402,21.0,english,female,42711
403,70.0,english,female,60944
404,71.0,english,female,44494
405,59.0,english,female,91983
406,74.0,english,male,85638
407,84.0,english,female,53314
408,62.0,english,male,53580
409,58.0,english,female,45699
410,82.0,english,female,60476
411,39.0,english,male,37159
412,48.0,english,female,47665
413,76.0,english,female,60276
414,83.0,english,female,50830
415,80.0,english,female,56077
416,53.0,english,male,81434
417,59.0,english,female,74417
418,26.0,english,female,74853
419,29.0,english,female,75237
420,29.0,english,male,72935
421,32.0,english,female,67175
422,24.0,english,female,82555
423,47.0,english,male,53421
424,64.0,english,male,61203
425,60.0,english,female,74341
426,26.0,english,female,51355
427,31.0,english,female,39990
428,20.0,english,female,71306
429,30.0,english,female,60554
430,32.0,english,male,66001
431,34.0,english,male,121247
432,20.0,english,female,99553
433,27.0,english,male,53374
434,38.0,english,male,70985
435,31.0,english,male,80936
436,24.0,english,female,86304
437,75.0,english,male,71539
438,31.0,english,male,65704
439,30.0,english,female,100709
440,68.0,english,female,67410
441,55.0,english,female,93721
442,19.0,english,female,44008
443,47.0,english,male,86779
444,23.0,english,female,72767
445,23.0,english,female,32857
446,32.0,english,female,59469
447,24.0,english,male,51345
448,20.0,english,female,76702
449,21.0,english,male,78535
450,20.0,english,female,71954
451,18.0,english,female,65198
452,63.0,english,female,117804
453,22.0,english,female,55624
454,19.0,english,female,67992
455,23.0,english,male,73037
456,31.0,english,male,77025
457,24.0,english,male,51852
458,60.0,english,male,97304
459,23.0,english,female,59794
460,21.0,english,male,98554
461,20.0,english,male,85959
462,27.0,english,male,53592
463,52.0,english,male,105687
464,26.0,english,male,84073
465,44.0,english,male,52933
466,24.0,english,male,30737
467,21.0,english,female,75594
468,19.0,english,female,77290
469,29.0,english,female,55625
470,37.0,english,female,68942
471,43.0,english,male,104149
472,22.0,english,female,63172
473,19.0,english,male,100370
474,73.0,english,male,87800
475,19.0,english,female,82247
476,44.0,english,female,87802
477,20.0,english,male,93593
478,53.0,english,female,70568
479,27.0,english,male,67445
480,20.0,english,male,41469
481,18.0,english,male,108171
482,23.0,english,male,90021
483,30.0,english,male,70929
484,22.0,english,male,104676
485,76.0,english,female,77485
486,21.0,english,male,61963
487,26.0,english,female,96346
488,20.0,english,male,36869
489,33.0,english,female,54651
490,29.0,english,female,43058
491,64.0,english,female,60238
492,31.0,english,female,118053
493,19.0,english,male,94244
494,64.0,english,female,60534
495,58.0,english,male,51630
496,88.0,english,female,82970
497,74.0,english,female,67646
498,19.0,english,male,65548
499,20.0,english,male,80007
500,22.0,english,female,60154
501,35.0,english,female,131206
502,43.0,english,male,91639
503,22.0,english,female,93772
504,20.0,english,male,65780
505,27.5,english,male,53320
506,21.0,english,male,81689
507,20.0,english,male,46994
508,22.0,english,male,139287
509,27.0,english,male,103838
510,21.0,english,female,83914
511,62.0,english,male,70580
512,29.0,english,female,84425
513,38.0,english,male,92846
514,64.0,english,female,130100
515,30.0,english,female,80745
516,25.0,english,male,85567
517,30.0,english,female,89498
518,20.0,english,female,80910
519,44.0,english,female,105484
520,67.0,english,male,61990
521,66.0,english,female,105179
522,31.0,english,female,88763
523,54.0,english,female,69767
524,57.0,english,male,67275
525,55.0,english,female,71283
526,32.0,english,female,48947
527,33.0,english,male,42286
528,20.0,english,male,55425
529,47.0,english,female,104032
530,25.0,english,female,79289
531,22.0,english,female,66393
532,18.0,english,female,62840
533,19.0,english,male,73292
534,18.0,english,female,75246
535,20.0,english,male,89943
536,25.0,english,female,87705
537,52.0,english,female,93149
538,29.0,english,female,74473
539,63.0,english,male,60278
540,50.0,english,female,106565
541,29.0,english,female,93572
542,23.0,english,female,80812
543,38.0,english,female,108583
544,29.0,english,female,114205
545,22.0,english,female,78198
546,21.0,english,female,86623
547,21.0,english,female,87174
548,20.0,english,female,93376
549,19.0,english,female,85934
550,40.0,english,female,80533
551,18.0,english,female,79322
552,27.0,english,female,63563
553,60.0,english,male,75861
554,39.0,english,female,87681
555,31.0,english,male,45987
556,56.0,english,male,77493
557,43.0,english,female,87931
558,63.0,english,male,112131
559,19.0,english,female,55462
560,53.0,english,female,113556
561,82.0,english,male,112848
562,81.0,english,female,127524
563,23.0,english,female,68249
564,21.0,english,male,72336
565,22.0,english,female,23944
566,90.0,english,male,79094
567,84.0,english,female,87863
568,23.0,english,male,35270
569,19.0,english,female,115792
570,20.0,english,male,108943
571,22.0,english,female,104980
572,20.0,english,female,107513
573,30.0,english,female,108626
574,32.0,english,male,105430
575,52.0,english,male,86834
576,27.0,english,female,74071
577,22.0,english,male,88811
578,24.0,english,male,74837
579,86.0,english,female,82232
580,24.0,english,male,97267
581,34.0,english,male,49591
582,42.0,english,female,61178
583,39.0,english,male,34407
584,51.0,english,male,66933
585,46.0,english,male,45356
586,26.0,english,female,91457
587,24.0,english,male,53710
588,63.0,english,female,141878
589,38.0,english,female,86156
590,60.0,english,male,80947
591,22.0,english,male,17966
592,46.0,english,female,94293
593,30.0,english,male,73803
594,45.0,english,female,100269
595,18.0,english,male,74000
596,19.0,english,male,50843
597,30.0,english,male,78302
598,21.0,english,male,87800
599,25.0,english,female,70675
600,47.0,english,male,56458
601,19.0,english,male,40763
602,37.0,english,male,94026
603,52.0,english,male,80434
604,23.0,english,male,41936
605,52.0,english,male,69395
606,21.0,english,male,51179
607,20.0,english,male,33795
608,24.0,english,male,83792
609,21.0,english,male,53928
610,32.0,english,male,108220
611,18.0,english,female,64401
612,26.0,english,male,95611
613,20.0,english,female,96052
614,73.0,english,male,65924
615,21.0,english,female,63501
616,34.0,english,male,53914
617,30.0,english,male,50255
618,50.0,english,female,37639
619,42.0,english,female,99867
620,45.0,english,male,72482
621,31.0,english,male,21646
622,50.0,english,male,59299
623,18.0,english,female,63432
624,18.0,english,male,58484
625,18.0,english,male,28660
626,48.0,english,female,80431
627,53.0,english,male,67273
628,22.0,english,female,56786
629,22.0,english,female,90512
630,55.0,english,female,68091
631,18.0,english,male,71043
632,31.0,english,male,52209
633,42.0,english,male,67731
634,22.0,english,male,48432
635,52.0,english,female,100031
636,52.0,farsi,female,127788
637,30.0,finnish,male,78050
638,19.0,french,female,61674
639,19.0,french,female,41388
640,22.0,french,male,67098
641,23.0,french,male,54681
642,78.0,french,female,89718
643,76.0,french,female,73126
644,27.0,french,female,65149
645,62.0,french,male,83322
646,22.0,french,male,57106
647,22.0,french,male,69669
648,18.0,french,male,106541
649,18.0,french,male,70629
650,66.0,french,male,108676
651,72.0,gan,male,182393
652,51.0,gedeo,male,69911
653,48.0,german,female,40340
654,24.0,german,male,48849
655,20.0,german,female,49358
656,31.0,german,female,65862
657,53.0,german,female,56535
658,19.0,german,female,41220
659,29.0,german,female,43963
660,21.0,german,female,76012
661,24.0,german,male,78647
662,27.0,german,male,44265
663,21.0,german,female,59936
664,77.0,german,female,105646
665,23.0,german,male,83869
666,53.0,german,female,75636
667,19.0,german,female,54505
668,21.0,german,female,76544
669,29.0,german,female,82888
670,39.0,german,male,106985
671,28.0,german,male,57893
672,51.0,german,female,88278
673,18.0,german,female,79125
674,19.0,german,female,55074
675,47.0,german,male,112481
676,20.0,german,male,66031
677,25.0,german,male,22412
678,22.0,german,male,103336
679,24.0,greek,male,109706
680,22.0,greek,female,94396
681,20.0,gujarati,male,64617
682,22.0,gujarati,male,53953
683,53.0,gujarati,female,92201
684,28.0,gujarati,female,65654
685,29.0,gujarati,male,58279
686,40.0,gujarati,female,46466
687,27.0,gujarati,female,85109
688,19.0,gujarati,male,101106
689,51.0,hadiyya,male,95002
690,30.0,hadiyya,male,75268
691,27.0,hindi,male,65856
692,19.0,hindi,female,43172
693,20.0,hindi,male,63065
694,25.0,hindi,female,47802
695,43.0,hindi,female,108115
696,53.0,hindi,male,88332
697,23.0,hindi,female,96922
698,25.0,hindi,male,62238
699,47.0,hindi,female,131324
700,21.0,hindi,female,66307
701,31.0,hindi,male,152556
702,42.0,hindi,male,54539
703,28.0,hindi,female,63312
704,64.0,hindi,female,52319
705,27.0,hindi,female,38070
706,60.0,hindi,female,53727
707,19.0,hindi,male,39086
708,31.0,hindi,male,51309
709,29.0,italian,female,69736
710,48.0,italian,male,45804
711,30.0,italian,male,50799
712,20.0,italian,male,42266
