age,nl,sex,zcr
32.0,english,male,44541
33.0,english,male,68097
18.0,english,female,98954
29.0,english,female,53952
57.0,english,male,79315
19.0,english,male,105703
21.0,english,male,55704
25.0,english,female,50815
39.0,english,male,56561
23.0,english,male,66879
24.0,english,male,88407
71.0,english,male,98016
18.0,english,female,46231
59.0,english,female,65992
60.0,english,male,57502
21.0,english,male,47464
21.0,english,male,84469
31.0,english,male,51673
18.0,english,male,89762
66.0,english,male,56686
67.0,english,female,50425
22.0,english,female,56311
37.0,english,female,82211
20.0,english,male,65951
46.0,english,male,69134
25.0,english,female,90411
20.0,english,female,59680
50.0,english,female,61918
48.0,english,female,89682
18.0,english,female,28157
54.0,english,male,68337
23.0,english,male,104260
20.0,english,male,59648
18.0,english,male,58453
33.0,english,male,63086
50.0,english,male,67947
21.0,english,female,96384
26.0,english,female,99934
19.0,english,female,75242
54.0,english,female,122918
20.0,english,male,46844
38.0,english,male,72920
22.0,english,female,80929
19.0,english,female,74674
25.0,english,male,74078
18.0,english,female,95463
19.0,english,male,96051
22.0,english,male,45698
59.0,english,male,104363
26.0,english,female,50403
30.0,english,female,86273
41.0,english,male,40108
22.0,english,male,89653
45.0,english,female,85737
24.0,english,female,55106
48.0,english,male,80268
34.0,english,male,70238
37.0,english,female,57828
38.0,english,female,74137
40.0,english,female,55654
28.0,english,male,88870
26.0,english,female,55151
25.0,english,male,82636
33.0,english,male,58676
26.0,english,male,9592
46.0,english,male,54695
29.0,english,male,49683
50.0,english,female,83340
52.0,english,male,57123
29.0,english,male,66687
31.0,english,female,62808
28.0,english,male,94871
32.0,english,male,81734
53.0,english,male,54540
27.0,english,male,67515
23.0,english,female,56804
21.0,english,female,27181
21.0,english,male,66358
18.0,english,female,84614
28.0,english,female,104806
20.0,english,female,95622
32.0,english,female,47261
18.0,english,female,113035
6.0,english,male,95814
46.0,english,female,127618
84.0,english,female,63398
53.0,english,female,44808
54.0,english,male,57755
18.0,english,female,69704
19.0,english,male,87275
23.0,english,female,46971
33.0,english,male,53762
23.0,english,male,63251
19.0,english,female,71941
20.0,english,male,53113
60.0,english,male,57785
22.0,english,female,119966
24.0,english,female,126342
60.0,english,female,80792
18.0,english,female,32290
37.0,english,male,55991
18.0,english,male,42301
19.0,english,male,62663
23.0,english,female,80046
24.0,english,male,55079
19.0,english,male,53783
32.0,english,male,76918
60.0,english,male,54016
19.0,english,female,107966
20.0,english,female,97461
20.0,english,male,57776
28.0,english,female,113785
52.0,english,male,61972
25.0,english,female,106911
25.0,english,female,116545
43.0,english,male,122502
27.0,english,male,78032
28.0,english,female,96729
22.0,english,male,75443
27.0,english,female,108609
80.0,english,male,40628
22.0,english,male,73380
36.0,english,male,51639
28.0,english,male,64721
46.0,english,male,32317
32.0,english,female,43187
38.0,english,female,32562
43.0,english,male,43101
27.0,english,male,71286
34.0,english,female,47446
85.0,english,male,97971
34.0,english,male,58115
32.0,english,female,56345
57.0,english,male,68993
77.0,english,female,88735
56.0,english,female,61398
21.0,english,female,42711
